#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,,Team,League
,<a href=https://npb.jp/bis/eng/players/93195155.html>Maruyama Kazuya</a>,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-93,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,42.9%,0.0%,0.0%,26,9,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/11815136.html>Masuda Shu</a>,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.250,0.000,0.250,-19,0.000,0.000,0.0%,25.0%,1.00,-0.0,0.0%,0.0%,100.0%,42.9%,0.0%,25.0%,27,9,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/01805136.html>Miyamoto Takeshi</a>,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,453,0.000,1.000,0.0%,0.0%,,-0.0,50.0%,0.0%,66.7%,50.0%,16.7%,0.0%,31,,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/51455151.html>Nagaoka Hideki</a>,3,15,12,2,3,2,0,0,5,0,0,0,0,0,3,3,0,0,1,0.250,0.400,0.417,0.817,130,0.167,0.333,20.0%,20.0%,1.00,-0.0,11.1%,24.2%,100.0%,33.9%,6.8%,40.0%,24,6,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/23525153.html>Osuna Jose</a>,3,14,12,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0.083,0.214,0.083,0.297,-9,0.000,0.091,7.1%,14.3%,2.00,-0.0,9.1%,13.3%,94.1%,37.5%,3.6%,21.4%,33,3,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/53755153.html>Santana Domingo</a>,3,12,10,2,3,1,0,1,7,5,0,0,0,0,4,2,0,0,0,0.300,0.417,0.700,1.117,205,0.400,0.400,33.3%,16.7%,0.50,-0.0,0.0%,16.7%,75.0%,42.4%,13.6%,58.3%,33,7,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/01005159.html>Suzuki Kyo</a>,1,5,5,1,2,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0.400,0.400,0.600,1.000,175,0.200,0.500,20.0%,0.0%,0.00,-0.0,25.0%,50.0%,81.8%,75.0%,20.0%,20.0%,20,2,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/21925139.html>Takanashi Hirotoshi</a>,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-93,0.000,,100.0%,0.0%,0.00,0.0,,50.0%,50.0%,42.9%,28.6%,100.0%,35,1,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/71275151.html>Takeoka Ryusei</a>,3,10,9,2,3,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0.333,0.400,0.333,0.733,109,0.000,0.429,20.0%,10.0%,0.50,-0.0,28.6%,16.7%,63.6%,41.2%,17.6%,30.0%,25,5,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/01405150.html>Tanaka Haruto</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-93,0.000,,100.0%,0.0%,0.00,0.0,,66.7%,0.0%,75.0%,75.0%,100.0%,20,,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/63365153.html>Yamano Taichi</a>,1,3,3,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0.333,0.333,0.333,0.666,89,0.000,1.000,66.7%,0.0%,0.00,-0.0,0.0%,40.0%,50.0%,46.2%,23.1%,66.7%,27,1,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/53555157.html>Yoshimura Kojiro</a>,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-93,0.000,0.000,50.0%,0.0%,0.00,0.0,0.0%,,100.0%,20.0%,0.0%,50.0%,28,1,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,<a href=https://npb.jp/bis/eng/players/61165132.html>Abe Toshiki</a>,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,50.0%,0.0%,0.00,0.0,0.0%,33.3%,50.0%,55.6%,33.3%,50.0%,36,,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/93795157.html>Calixte Orlando</a>,3,11,10,0,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0.100,0.182,0.100,0.282,-16,0.000,0.125,18.2%,9.1%,0.50,-0.0,0.0%,38.9%,75.0%,57.6%,21.2%,27.3%,34,9,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/81685157.html>Fukunaga Hiroki</a>,3,13,13,1,4,0,0,0,4,1,1,0,0,0,2,0,0,0,0,0.308,0.308,0.308,0.616,86,0.000,0.364,15.4%,0.0%,0.00,0.2,18.2%,38.1%,92.3%,48.8%,7.0%,15.4%,29,5,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/21625157.html>Higuchi Seishu</a>,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,0.0%,0.0%,,0.2,0.0%,50.0%,100.0%,60.0%,0.0%,0.0%,27,7,L,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/31835134.html>Hosokawa Seiya</a>,3,12,12,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0.333,0.333,0.333,0.666,102,0.000,0.444,25.0%,0.0%,0.00,-0.0,11.1%,34.8%,75.0%,52.2%,8.7%,25.0%,27,7,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/21125150.html>Ishii Yuta</a>,3,12,12,1,5,2,0,0,7,2,0,0,0,0,2,0,0,0,0,0.417,0.417,0.583,1.000,202,0.166,0.500,16.7%,0.0%,0.00,-0.0,0.0%,36.8%,88.9%,54.3%,8.7%,16.7%,25,2,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/91195151.html>Ishikawa Takaya</a>,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,1.000,0.000,1.000,234,0.000,,0.0%,100.0%,1.00,-0.0,,20.0%,,20.0%,0.0%,100.0%,25,3,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/91395132.html>Itayama Yutaro</a>,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,,100.0%,0.0%,0.00,0.0,,60.0%,66.7%,66.7%,22.2%,100.0%,32,9,L,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/31735132.html>Kinoshita Takuya</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,,100.0%,0.0%,0.00,0.0,,100.0%,,33.3%,33.3%,100.0%,34,,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/03105157.html>Muramatsu Kaito</a>,3,11,9,2,2,0,1,0,4,1,0,0,1,0,4,1,0,0,0,0.222,0.300,0.444,0.744,123,0.222,0.400,36.4%,9.1%,0.25,-0.0,0.0%,34.6%,87.5%,50.0%,12.0%,45.5%,25,6,L,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/71575159.html>Oda Gouki</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,0.0%,0.0%,,0.0,0.0%,40.0%,66.7%,62.5%,12.5%,0.0%,25,9,L,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/81585151.html>Okabayashi Yuki</a>,3,13,13,1,5,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0.385,0.385,0.385,0.770,135,0.000,0.385,0.0%,0.0%,,0.2,7.7%,45.8%,100.0%,50.9%,0.0%,0.0%,24,8,L,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/21925152.html>Sakurai Yorinosuke</a>,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,,100.0%,0.0%,0.00,0.0,,66.7%,0.0%,42.9%,42.9%,100.0%,22,1,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/73575152.html>Sano Miguel</a>,3,12,11,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0.000,0.083,0.000,0.083,-79,0.000,0.000,41.7%,8.3%,0.20,-0.0,16.7%,25.0%,86.7%,43.8%,12.5%,50.0%,33,3,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/61265153.html>Takahashi Hiroto</a>,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,0.0%,0.0%,,0.0,0.0%,66.7%,100.0%,57.1%,0.0%,0.0%,23,1,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/21025157.html>Tanaka Mikiya</a>,3,12,11,0,3,0,0,0,3,1,0,0,0,0,3,0,0,1,0,0.273,0.333,0.273,0.606,85,0.000,0.375,25.0%,0.0%,0.00,-0.0,12.5%,31.6%,100.0%,38.1%,2.4%,25.0%,25,4,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/61265159.html>Tsujimoto Rintaro</a>,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,0.0%,0.0%,,0.0,0.0%,100.0%,,50.0%,0.0%,0.0%,24,4,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/63165134.html>Yanagi Yuya</a>,1,3,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.500,0.500,0.500,1.000,207,0.000,1.000,33.3%,0.0%,0.00,-0.0,50.0%,20.0%,100.0%,45.5%,9.1%,33.3%,32,1,R,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/21625132.html>Hirooka Taishi</a>,3,13,12,1,4,0,0,0,4,1,0,0,0,0,6,1,0,0,0,0.333,0.385,0.333,0.718,114,0.000,0.667,46.2%,7.7%,0.17,-0.0,16.7%,30.0%,80.0%,44.4%,18.5%,53.8%,29,9,R,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/91995151.html>Kurebayashi Kotaro</a>,3,9,9,2,3,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0.333,0.333,0.667,1.000,188,0.334,0.286,11.1%,0.0%,0.00,-0.0,12.5%,38.5%,88.9%,51.9%,11.1%,22.2%,24,6,R,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/91495139.html>Mori Tomoya</a>,3,12,11,1,2,1,0,0,3,0,0,0,0,0,2,1,0,0,0,0.182,0.250,0.273,0.523,54,0.091,0.222,16.7%,8.3%,0.50,-0.0,44.4%,26.9%,72.7%,41.9%,11.6%,25.0%,30,DH,L,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/33135150.html>Mugitani Yusuke</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,0.0%,0.0%,,0.0,0.0%,,100.0%,100.0%,0.0%,0.0%,23,9,L,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/11815130.html>Mune Yuma</a>,3,14,9,1,2,0,0,0,2,1,1,0,0,0,3,3,0,2,0,0.222,0.500,0.222,0.722,121,0.000,0.333,21.4%,21.4%,1.00,0.2,0.0%,26.5%,88.2%,41.9%,11.3%,42.9%,30,5,L,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/51255138.html>Nakagawa Keita</a>,3,11,10,2,4,1,0,1,8,5,1,1,0,0,1,1,0,0,0,0.400,0.455,0.800,1.255,263,0.400,0.375,9.1%,9.1%,1.00,-0.2,44.4%,33.3%,77.8%,43.8%,12.5%,27.3%,30,8,R,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/71475132.html>Nishikawa Ryoma</a>,3,12,11,1,5,2,0,0,7,1,0,0,1,0,1,0,0,0,1,0.455,0.455,0.636,1.091,219,0.181,0.500,8.3%,0.0%,0.00,-0.0,18.2%,40.0%,85.7%,56.4%,15.4%,8.3%,31,7,L,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/91495130.html>Nishino Masahiro</a>,2,4,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.000,0.250,0.000,0.250,-20,0.000,0.000,50.0%,25.0%,0.50,-0.0,0.0%,22.2%,100.0%,18.8%,12.5%,75.0%,35,4,L,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/81485155.html>Noguchi Tomoya</a>,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,766,1.000,1.000,0.0%,0.0%,,0.0,0.0%,100.0%,,50.0%,0.0%,0.0%,26,6,L,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/11515132.html>Ohshiro Koji</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,0.0%,0.0%,,0.0,0.0%,,50.0%,100.0%,50.0%,0.0%,33,4,R,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/91395138.html>Ohta Ryo</a>,3,13,8,2,3,1,0,0,4,0,0,0,0,0,2,5,0,0,1,0.375,0.615,0.500,1.115,234,0.125,0.500,15.4%,38.5%,2.50,-0.0,16.7%,14.3%,73.3%,34.5%,12.1%,53.8%,25,4,R,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/93595152.html>Seymour Bob</a>,2,8,8,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.125,0.125,0.125,0.250,-27,0.000,0.167,25.0%,0.0%,0.00,-0.0,0.0%,53.3%,88.9%,60.7%,10.7%,25.0%,27,3,L,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/41645139.html>Wakatsuki Kenya</a>,3,12,10,0,1,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0.100,0.182,0.100,0.282,-15,0.000,0.167,33.3%,8.3%,0.25,-0.0,0.0%,41.7%,87.5%,40.9%,20.5%,41.7%,30,2,R,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/63565155.html>Watanabe Haruto</a>,2,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,766,1.000,1.000,0.0%,0.0%,,0.0,0.0%,,100.0%,50.0%,0.0%,0.0%,26,7,L,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/31635138.html>Fujiwara Kyota</a>,3,13,12,2,4,0,0,0,4,3,0,0,0,1,1,0,0,0,1,0.333,0.308,0.333,0.641,86,0.000,0.333,7.7%,0.0%,0.00,-0.0,16.7%,36.4%,88.9%,51.0%,11.8%,7.7%,26,9,L,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/21125155.html>Ikeda Raito</a>,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,,0.0,20.0%,57.1%,100.0%,70.6%,0.0%,0.0%,26,4,R,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/53155155.html>Matsukawa Kou</a>,3,8,8,1,3,1,0,0,4,3,0,0,0,0,1,0,0,0,0,0.375,0.375,0.500,0.875,151,0.125,0.429,12.5%,0.0%,0.00,-0.0,0.0%,21.4%,100.0%,43.3%,3.3%,12.5%,22,2,R,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/81885150.html>Miyazaki Ryusei</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,,0.0,0.0%,,100.0%,100.0%,0.0%,0.0%,25,4,L,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/21625150.html>Nishikawa Misho</a>,3,12,12,0,4,1,0,0,5,3,1,0,0,0,2,0,0,0,0,0.333,0.333,0.417,0.750,116,0.084,0.400,16.7%,0.0%,0.00,0.2,0.0%,18.2%,93.8%,36.4%,3.6%,16.7%,23,7,R,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/11715153.html>Ogawa Ryusei</a>,3,10,8,2,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0.250,0.400,0.250,0.650,93,0.000,0.333,20.0%,20.0%,1.00,-0.0,16.7%,30.0%,81.2%,48.1%,9.6%,40.0%,28,4,L,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/11515139.html>Oka Hiromi</a>,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,50.0%,0.0%,0.00,0.0,0.0%,20.0%,50.0%,30.0%,20.0%,50.0%,34,3,R,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/63065155.html>Polanco Gregory</a>,3,12,11,2,2,0,0,1,5,1,0,0,0,0,1,1,0,0,0,0.182,0.250,0.455,0.705,100,0.273,0.111,8.3%,8.3%,1.00,-0.0,40.0%,12.5%,81.0%,48.0%,10.0%,25.0%,34,DH,L,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/71075151.html>Satoh Toshiya</a>,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.333,0.000,0.333,6,0.000,0.000,0.0%,0.0%,,-0.0,50.0%,66.7%,100.0%,62.5%,12.5%,0.0%,28,2,L,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/03505136.html>Soto Neftali</a>,3,10,10,2,4,1,0,1,8,2,0,0,0,0,1,0,0,0,0,0.400,0.400,0.800,1.200,237,0.400,0.375,10.0%,0.0%,0.00,-0.0,22.2%,21.4%,84.6%,48.5%,12.1%,20.0%,37,3,R,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/11215151.html>Takabe Akito</a>,3,13,12,3,4,1,0,0,5,0,2,0,0,0,3,1,0,0,0,0.333,0.385,0.417,0.802,132,0.084,0.444,23.1%,7.7%,0.33,0.3,11.1%,37.5%,78.6%,50.0%,8.7%,30.8%,28,8,L,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/51455159.html>Terachi Ryusei</a>,3,13,11,1,4,1,0,0,5,1,0,0,0,1,3,1,0,0,0,0.364,0.385,0.455,0.840,142,0.091,0.444,23.1%,7.7%,0.33,-0.0,11.1%,4.8%,92.9%,33.3%,4.4%,30.8%,20,5,L,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/71275157.html>Tomosugi Atsuki</a>,3,4,4,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.250,0.250,0.250,0.500,46,0.000,0.500,50.0%,0.0%,0.00,-0.0,0.0%,22.2%,75.0%,35.3%,17.6%,50.0%,25,6,R,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/91895138.html>Yamaguchi Koki</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,0.0%,0.00,0.0,,50.0%,0.0%,50.0%,25.0%,100.0%,25,DH,R,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/33535153.html>Yamamoto Daito</a>,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,,0.0,0.0%,40.0%,100.0%,50.0%,25.0%,0.0%,23,7,R,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/31335131.html>Imamiya Kenta</a>,3,8,8,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.125,0.125,0.125,0.250,-26,0.000,0.167,25.0%,0.0%,0.00,-0.0,16.7%,38.5%,100.0%,51.7%,13.8%,25.0%,34,6,R,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/11715132.html>Kawase Hikaru</a>,1,4,4,1,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,333,0.000,0.750,0.0%,0.0%,,-0.0,50.0%,0.0%,100.0%,38.5%,0.0%,0.0%,28,6,L,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/41745135.html>Kondoh Kensuke</a>,3,14,10,4,5,3,0,1,11,4,0,0,0,0,2,4,0,0,0,0.500,0.643,1.100,1.743,392,0.600,0.571,14.3%,28.6%,2.00,-0.0,37.5%,3.7%,88.2%,32.7%,3.6%,50.0%,32,9,L,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/01705130.html>Kurihara Ryoya</a>,3,12,10,3,3,1,0,1,7,2,0,0,0,0,1,2,0,0,0,0.300,0.417,0.700,1.117,216,0.400,0.250,8.3%,16.7%,2.00,-0.0,11.1%,11.5%,88.2%,40.0%,8.0%,33.3%,29,5,L,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/61465133.html>Makihara Taisei</a>,3,11,10,2,4,1,0,0,5,2,0,0,0,1,1,0,0,0,0,0.400,0.364,0.500,0.864,147,0.100,0.400,9.1%,0.0%,0.00,-0.0,20.0%,20.0%,100.0%,50.0%,9.4%,9.1%,33,4,L,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/11615155.html>Nomura Isami</a>,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,477,0.000,1.000,0.0%,0.0%,,-0.0,0.0%,,100.0%,50.0%,0.0%,0.0%,29,6,R,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/21925136.html>Shuto Ukyo</a>,3,14,11,2,1,0,0,0,1,1,0,1,0,0,2,2,0,1,0,0.091,0.286,0.091,0.377,15,0.000,0.111,14.3%,14.3%,1.00,-0.3,11.1%,14.8%,100.0%,34.0%,2.0%,28.6%,30,8,L,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/11215132.html>Tanigawara Kenta</a>,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,60.0%,71.4%,28.6%,0.0%,29,2,L,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/81385151.html>Umino Takashi</a>,3,8,7,1,3,1,0,0,4,0,0,0,1,0,1,0,0,0,0,0.429,0.429,0.571,1.000,186,0.142,0.500,12.5%,0.0%,0.00,-0.0,28.6%,37.5%,80.0%,66.7%,14.8%,12.5%,28,2,R,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/21425139.html>Yamakawa Hotaka</a>,3,12,11,2,3,0,0,2,9,3,0,0,0,0,5,0,0,1,0,0.273,0.333,0.818,1.151,221,0.545,0.250,41.7%,0.0%,0.00,-0.0,50.0%,48.0%,76.9%,54.3%,28.3%,58.3%,34,3,R,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
