,Player,ポジション,投打,身長／体重,生年月日,経歴,ドラフト
https://npb.jp/bis/players/31535153.html,宇田川　優希,投手,右投右打,184cm／92kg,1998年11月10日,八潮南高 - 仙台大,2020年育成選手ドラフト3位
https://npb.jp/bis/players/41345150.html,上原　堆我,投手,右投右打,178cm／84kg,2007年3月13日,花咲徳栄高,2024年育成選手ドラフト3位
https://npb.jp/bis/players/71575151.html,遠藤　成,内野手,右投左打,178cm／84kg,2001年9月19日,東海大相模高,2019年ドラフト4位
https://npb.jp/bis/players/43545159.html,Ａ．エスピノーザ,投手,右投右打,183cm／86kg,1998年3月9日,UEホセマリアエスパーニャ高 - カブス,
https://npb.jp/bis/players/11515132.html,大城　滉二,内野手,右投右打,175cm／80kg,1993年6月14日,興南高 - 立教大,2015年ドラフト3位
https://npb.jp/bis/players/81385134.html,小野　泰己,,右投右打,184cm／83kg,1994年5月30日,折尾愛真高 - 富士大,2016年ドラフト2位
https://npb.jp/bis/players/91395138.html,太田　椋,内野手,右投右打,181cm／84kg,2001年2月14日,天理高,2018年ドラフト1位
https://npb.jp/bis/players/01305155.html,大里　昂生,内野手,右投左打,178cm／76kg,1999年7月7日,盛岡大付高 - 東北福祉大,2021年育成選手ドラフト3位
https://npb.jp/bis/players/43945150.html,Ｅ．オリバレス,,右投右打,185cm／88kg,1996年3月6日,エウラリアブロス高 - パドレス - ロイヤルズ - パイレーツ,
https://npb.jp/bis/players/21525130.html,香月　一也,内野手,右投左打,176cm／83kg,1996年4月16日,大阪桐蔭高,2014年ドラフト5位
https://npb.jp/bis/players/41745153.html,川瀬　堅斗,投手,右投右打,183cm／93kg,2002年6月18日,大分商,2020年育成選手ドラフト1位
https://npb.jp/bis/players/81585159.html,河内　康介,投手,右投右打,180cm／80kg,2005年4月16日,聖カタリナ学園高,2023年ドラフト2位
https://npb.jp/bis/players/11715159.html,河野　聡太,内野手,右投左打,180cm／82kg,2000年5月22日,九州産大九州産高 - 西日本工大 - 四国・愛媛,2023年育成選手ドラフト5位
https://npb.jp/bis/players/01505150.html,片山　楽生,投手,右投左打,177cm／81kg,2002年10月7日,白樺学園高 - NTT東日本,2024年ドラフト6位
https://npb.jp/bis/players/51755138.html,宜保　翔,内野手,右投左打,175cm／75kg,2000年11月26日,KBC学園未来高沖縄,2018年ドラフト5位
https://npb.jp/bis/players/51955153.html,来田　涼斗,外野手,右投左打,182cm／88kg,2002年10月16日,明石商,2020年ドラフト3位
https://npb.jp/bis/players/71775139.html,九里　亜蓮,投手,右投右打,188cm／98kg,1991年9月1日,岡山理大付高 - 亜細亜大,2013年ドラフト2位
https://npb.jp/bis/players/91995151.html,紅林　弘太郎,内野手,右投右打,188cm／95kg,2002年2月7日,駿河総合高,2019年ドラフト2位
https://npb.jp/bis/players/21925153.html,元　謙太,外野手,右投右打,186cm／88kg,2002年5月17日,岐阜・中京高,2020年ドラフト2位
https://npb.jp/bis/players/11915155.html,小木田　敦也,投手,右投右打,173cm／83kg,1998年10月10日,角館高 - TDK,2021年ドラフト7位
https://npb.jp/bis/players/41745159.html,古田島　成龍,投手,右投右打,175cm／85kg,1999年6月29日,取手松陽高 - 中央学院大 - 日本通運,2023年ドラフト6位
https://npb.jp/bis/players/61765159.html,権田　琉成,投手,右投右打,180cm／90kg,2000年1月28日,上田西高 - 明星大 - TDK,2023年ドラフト7位
https://npb.jp/bis/players/91995130.html,佐野　皓大,,右投右打,182cm／80kg,1996年9月2日,大分高,2014年ドラフト3位
https://npb.jp/bis/players/51055151.html,佐藤　一磨,投手,左投左打,190cm／97kg,2001年4月16日,横浜隼人高,2019年育成選手ドラフト1位
https://npb.jp/bis/players/21725157.html,才木　海翔,投手,右投右打,182cm／86kg,2000年6月10日,北海道栄高 - 大阪経済大,2022年育成選手ドラフト2位
https://npb.jp/bis/players/41745157.html,齋藤　響介,投手,右投右打,178cm／77kg,2004年11月18日,盛岡中央高,2022年ドラフト3位
https://npb.jp/bis/players/71275150.html,清水　武蔵,内野手,右投右打,173cm／78kg,2003年4月14日,国士舘高 - BC・栃木,2024年育成選手ドラフト2位
https://npb.jp/bis/players/61965132.html,杉本　裕太郎,外野手,右投右打,190cm／104kg,1991年4月5日,徳島商 - 青山学院大 - JR西日本,2015年ドラフト10位
https://npb.jp/bis/players/61965157.html,杉澤　龍,外野手,右投左打,175cm／80kg,2000年6月2日,東北高 - 東北福祉大,2022年ドラフト4位
https://npb.jp/bis/players/31035159.html,寿賀　弘都,投手,左投左打,180cm／85kg,2005年6月16日,英明高,2023年育成選手ドラフト1位
https://npb.jp/bis/players/81985157.html,曽谷　龍平,投手,左投左打,183cm／83kg,2000年11月30日,明桜高 - 白鴎大,2022年ドラフト1位
https://npb.jp/bis/players/41045136.html,田嶋　大樹,投手,左投左打,182cm／82kg,1996年8月3日,佐野日大高 - JR東日本,2017年ドラフト1位
https://npb.jp/bis/players/61065159.html,髙島　泰都,投手,右投右打,181cm／88kg,1999年12月3日,滝川西高 - 明治大 - 王子,2023年ドラフト5位
https://npb.jp/bis/players/31435150.html,田島　光祐,捕手,右投右打,174cm／80kg,2000年4月9日,龍谷大平安高 - BC・信濃,2024年育成選手ドラフト5位
https://npb.jp/bis/players/61065157.html,茶野　篤政,外野手,右投左打,175cm／80kg,1999年8月4日,中京学院大中京高 - 名古屋商科大 - 四国・徳島,2022年育成選手ドラフト4位
https://npb.jp/bis/players/43545150.html,陳　睦衡,投手,右投左打,181cm／84kg,2006年3月23日,台湾・国立体育大,
https://npb.jp/bis/players/61465150.html,寺西　成騎,投手,右投右打,186cm／85kg,2002年10月18日,星稜高 - 日本体育大,2024年ドラフト2位
https://npb.jp/bis/players/81485150.html,寺本　聖一,外野手,右投左打,170cm／86kg,2003年2月5日,広島商 - 広島経済大,2024年育成選手ドラフト4位
https://npb.jp/bis/players/83585150.html,Ｊ．ディアス,,右投右打,178cm／95kg,2000年8月13日,ヌエストラセニョーラデファティマラポリシアモンテリア高 - アスレチックス,
https://npb.jp/bis/players/61065138.html,富山　凌雅,投手,左投左打,178cm／88kg,1997年5月3日,九州国際大付高 - トヨタ自動車,2018年ドラフト4位
https://npb.jp/bis/players/81085138.html,頓宮　裕真,捕手,右投右打,182cm／103kg,1996年11月17日,岡山理大付高 - 亜細亜大,2018年ドラフト2位
https://npb.jp/bis/players/71475159.html,東松　快征,投手,左投左打,179cm／86kg,2005年4月29日,享栄高,2023年ドラフト3位
https://npb.jp/bis/players/51255138.html,中川　圭太,内野手,右投右打,180cm／76kg,1996年4月12日,PL学園高 - 東洋大,2018年ドラフト7位
https://npb.jp/bis/players/91295157.html,内藤　鵬,内野手,右投右打,180cm／103kg,2004年10月5日,日本航空石川高,2022年ドラフト2位
https://npb.jp/bis/players/91495130.html,西野　真弘,内野手,右投左打,167cm／71kg,1990年8月2日,東海大浦安高 - 国際武道大 - JR東日本,2014年ドラフト7位
https://npb.jp/bis/players/71475132.html,西川　龍馬,外野手,右投左打,178cm／83kg,1994年12月10日,敦賀気比高 - 王子,2015年ドラフト5位
https://npb.jp/bis/players/81485155.html,野口　智哉,内野手,右投左打,181cm／95kg,1999年9月20日,鳴門渦潮高 - 関西大,2021年ドラフト2位
https://npb.jp/bis/players/81285112.html,平野　佳寿,投手,右投右打,186cm／90kg,1984年3月8日,鳥羽高 - 京都産業大,2005年大学生・社会人ドラフト希望枠
https://npb.jp/bis/players/21625132.html,廣岡　大志,内野手,右投右打,185cm／92kg,1997年4月9日,智弁学園高,2015年ドラフト2位
https://npb.jp/bis/players/61965136.html,博志,投手,右投右打,182cm／95kg,1997年3月22日,磐田東高 - ヤマハ,2017年ドラフト1位
https://npb.jp/bis/players/61665150.html,東山　玲士,投手,右投右打,180cm／83kg,2000年5月5日,丸亀高 - 同志社大 - ENEOS,2024年ドラフト5位
https://npb.jp/bis/players/01605136.html,福田　周平,,右投左打,167cm／65kg,1992年8月8日,広陵高 - 明治大 - NTT東日本,2017年ドラフト3位
https://npb.jp/bis/players/11815155.html,福永　奨,捕手,右投右打,175cm／87kg,1999年7月28日,横浜高 - 国学院大,2021年ドラフト3位
https://npb.jp/bis/players/13215157.html,Ｌ．ペルドモ,投手,右投右打,188cm／84kg,1993年5月9日,パドレス - ブルワーズ,
https://npb.jp/bis/players/31835132.html,本田　圭佑,,右投右打,180cm／80kg,1993年4月24日,東北学院高 - 東北学院大,2015年ドラフト6位
https://npb.jp/bis/players/61665136.html,本田　仁海,投手,右投左打,181cm／74kg,1999年7月27日,星槎国際湘南高,2017年ドラフト4位
https://npb.jp/bis/players/81885159.html,堀　柊那,捕手,右投右打,179cm／82kg,2005年7月16日,報徳学園高,2023年ドラフト4位
https://npb.jp/bis/players/41645151.html,前　佑囲斗,投手,右投右打,182cm／90kg,2001年8月13日,津田学園高,2019年ドラフト4位
https://npb.jp/bis/players/43945159.html,Ａ．マチャド,投手,右投右打,185cm／105kg,1993年4月22日,ウニダッドエデュカティバウラマ高 - ロイヤルズ - ナショナルズ,
https://npb.jp/bis/players/71875151.html,宮城　大弥,投手,左投左打,171cm／85kg,2001年8月25日,興南高,2019年ドラフト1位
https://npb.jp/bis/players/63165159.html,宮國　凌空,投手,右投右打,176cm／86kg,2005年8月7日,東邦高,2023年育成選手ドラフト3位
https://npb.jp/bis/players/11815130.html,宗　佑磨,内野手,右投左打,181cm／83kg,1996年6月7日,横浜隼人高,2014年ドラフト2位
https://npb.jp/bis/players/41845151.html,村西　良太,,右投左打,174cm／76kg,1997年6月6日,津名高 - 近畿大,2019年ドラフト3位
https://npb.jp/bis/players/33335155.html,椋木　蓮,投手,右投右打,179cm／86kg,2000年1月22日,高川学園高 - 東北福祉大,2021年ドラフト1位
https://npb.jp/bis/players/93195157.html,村上　喬一朗,捕手,右投右打,168cm／76kg,2000年12月1日,東福岡高 - 法政大,2022年育成選手ドラフト5位
https://npb.jp/bis/players/33135150.html,麦谷　祐介,外野手,右投左打,180cm／81kg,2002年7月27日,大崎中央高 - 富士大,2024年ドラフト1位
https://npb.jp/bis/players/91495139.html,森　友哉,捕手,右投左打,170cm／85kg,1995年8月8日,大阪桐蔭高,2013年ドラフト1位
https://npb.jp/bis/players/61465131.html,山田　修義,投手,左投左打,185cm／95kg,1991年9月19日,敦賀気比高,2009年ドラフト3位
https://npb.jp/bis/players/83185134.html,山岡　泰輔,投手,右投左打,172cm／68kg,1995年9月22日,瀬戸内高 - 東京ガス,2016年ドラフト1位
https://npb.jp/bis/players/33335134.html,山﨑　颯一郎,投手,右投右打,190cm／93kg,1998年6月15日,敦賀気比高,2016年ドラフト6位
https://npb.jp/bis/players/43345153.html,山下　舜平大,投手,右投右打,190cm／100kg,2002年7月16日,福岡大大濠高,2020年ドラフト1位
https://npb.jp/bis/players/83185150.html,山口　廉王,投手,右投右打,193cm／97kg,2006年5月14日,仙台育英高,2024年ドラフト3位
https://npb.jp/bis/players/33335150.html,山中　稜真,捕手,右投左打,178cm／83kg,2000年12月14日,木更津総合高 - 青山学院大 - 三菱重工East,2024年ドラフト4位
https://npb.jp/bis/players/13115138.html,吉田　輝星,投手,右投右打,175cm／83kg,2001年1月12日,金足農,2018年ドラフト1位
https://npb.jp/bis/players/03505155.html,横山　楓,投手,右投両打,181cm／91kg,1997年12月28日,宮崎学園高 - 国学院大 - セガサミー,2021年ドラフト6位
https://npb.jp/bis/players/83385159.html,横山　聖哉,内野手,右投左打,181cm／86kg,2005年10月28日,上田西高,2023年ドラフト1位
https://npb.jp/bis/players/41645139.html,若月　健矢,捕手,右投右打,180cm／88kg,1995年10月4日,花咲徳栄高,2013年ドラフト3位
https://npb.jp/bis/players/63565155.html,渡部　遼人,外野手,左投左打,171cm／72kg,1999年9月2日,桐光学園高 - 慶応大,2021年ドラフト4位
https://npb.jp/bis/players/31535132.html,愛斗,外野手,右投右打,177cm／92kg,1997年4月6日,花咲徳栄高,2015年ドラフト4位
https://npb.jp/bis/players/31135138.html,東妻　勇輔,投手,右投右打,172cm／80kg,1996年4月4日,智弁和歌山高 - 日本体育大,2018年ドラフト2位
https://npb.jp/bis/players/71175155.html,秋山　正雲,投手,左投左打,174cm／80kg,2003年4月29日,二松学舎大付高,2021年ドラフト4位
https://npb.jp/bis/players/23925150.html,Ｓ．アセベド,外野手,右投右打,195cm／104kg,2002年8月2日,コレヒオマラナタデドニャグラディス高 - 米マイナー,
https://npb.jp/bis/players/01105135.html,石川　慎吾,外野手,右投右打,178cm／80kg,1993年4月27日,東大阪大柏原高,2011年ドラフト3位
https://npb.jp/bis/players/41145139.html,石川　歩,,右投右打,186cm／80kg,1988年4月11日,富山・滑川高 - 中部大 - 東京ガス,2013年ドラフト1位
https://npb.jp/bis/players/61165139.html,石川　柊太,投手,右投右打,185cm／88kg,1991年12月27日,総合工科高 - 創価大,2013年育成選手ドラフト1位
https://npb.jp/bis/players/91395130.html,岩下　大輝,,右投右打,182cm／90kg,1996年10月2日,星稜高,2014年ドラフト3位
https://npb.jp/bis/players/41145134.html,石垣　雅海,内野手,右投右打,181cm／88kg,1998年9月21日,酒田南高,2016年ドラフト3位
https://npb.jp/bis/players/21125155.html,池田　来翔,内野手,右投右打,180cm／95kg,1999年12月11日,習志野高 - 国士舘大,2021年ドラフト2位
https://npb.jp/bis/players/11315150.html,一條　力真,投手,右投左打,190cm／90kg,2003年2月10日,常総学院高 - 東洋大,2024年ドラフト3位
https://npb.jp/bis/players/91395150.html,茨木　佑太,投手,右投右打,187cm／93kg,2006年5月9日,帝京長岡高,2024年育成選手ドラフト2位
https://npb.jp/bis/players/91395151.html,植田　将太,捕手,右投右打,180cm／86kg,1997年12月18日,慶応高 - 慶応大,2019年育成選手ドラフト2位
https://npb.jp/bis/players/71375159.html,上田　希由翔,内野手,右投左打,183cm／96kg,2001年8月12日,愛知産大三河高 - 明治大,2023年ドラフト1位
https://npb.jp/bis/players/71575131.html,荻野　貴司,,右投右打,172cm／75kg,1985年10月21日,奈良・郡山高 - 関西学院大 - トヨタ自動車,2009年ドラフト1位
https://npb.jp/bis/players/11515139.html,岡　大海,外野手,右投右打,185cm／80kg,1991年7月15日,倉敷商 - 明治大,2013年ドラフト3位
https://npb.jp/bis/players/51555130.html,小野　郁,投手,右投右打,175cm／78kg,1996年10月23日,西日本短大付高,2014年ドラフト2位
https://npb.jp/bis/players/11515138.html,小島　和哉,投手,左投左打,178cm／85kg,1996年7月7日,浦和学院高 - 早稲田大,2018年ドラフト3位
https://npb.jp/bis/players/91595151.html,大下　誠一郎,,右投右打,171cm／89kg,1997年11月3日,白鴎大足利高 - 白鴎大,2019年育成選手ドラフト6位
https://npb.jp/bis/players/11715153.html,小川　龍成,内野手,右投左打,171cm／74kg,1998年4月5日,前橋育英高 - 国学院大,2020年ドラフト3位
https://npb.jp/bis/players/81385159.html,大谷　輝龍,投手,右投右打,180cm／81kg,2000年7月11日,小松大谷高 - JFE東日本 - 伏木海陸運送 - 日本海・富山,2023年ドラフト2位
https://npb.jp/bis/players/41545114.html,角中　勝也,外野手,右投左打,180cm／85kg,1987年5月25日,日本航空二高 - 四国・高知,2006年大学生・社会人ドラフト7巡目
https://npb.jp/bis/players/21525116.html,唐川　侑己,投手,右投右打,181cm／90kg,1989年7月5日,成田高,2007年高校生ドラフト1巡目
https://npb.jp/bis/players/21525132.html,柿沼　友哉,捕手,右投右打,180cm／86kg,1993年5月12日,誠恵高 - 日本大国際関係学部,2015年育成選手ドラフト2位
https://npb.jp/bis/players/61765153.html,河村　説人,投手,右投右打,192cm／87kg,1997年6月18日,白樺学園高 - 星槎道都大,2020年ドラフト4位
https://npb.jp/bis/players/61365157.html,勝又　琉偉,内野手,右投右打,188cm／78kg,2004年10月7日,富士宮東高,2022年育成選手ドラフト3位
https://npb.jp/bis/players/31535157.html,金田　優太,内野手,右投左打,183cm／83kg,2005年2月12日,浦和学院高,2022年ドラフト5位
https://npb.jp/bis/players/91595157.html,菊地　吏玖,投手,右投左打,183cm／93kg,2000年6月13日,札幌大谷高 - 専修大,2022年ドラフト1位
https://npb.jp/bis/players/71775159.html,木村　優人,投手,右投左打,184cm／92kg,2005年6月1日,霞ヶ浦高,2023年ドラフト3位
https://npb.jp/bis/players/01705131.html,国吉　佑樹,,右投右打,196cm／106kg,1991年9月24日,秀岳館高,2009年育成選手ドラフト1位
https://npb.jp/bis/players/93995155.html,Ｔ．ゲレーロ,,右投右打,203cm／112kg,1991年1月9日,ドミンゴベンケスビオホ高 - パドレス - マーリンズ,
https://npb.jp/bis/players/01705159.html,髙野　光海,外野手,右投右打,187cm／95kg,2004年6月17日,池田高 - 日本海・富山,2023年育成選手ドラフト3位
https://npb.jp/bis/players/81985133.html,澤村　拓一,,右投右打,184cm／105kg,1988年4月3日,佐野日大高 - 中央大,2010年ドラフト1位
https://npb.jp/bis/players/01905134.html,澤田　圭佑,投手,右投左打,178cm／96kg,1994年4月27日,大阪桐蔭高 - 立教大,2016年ドラフト8位
https://npb.jp/bis/players/41745138.html,坂本　光士郎,投手,左投左打,179cm／80kg,1994年9月9日,如水館高 - 日本文理大 - 新日鉄住金広畑,2018年ドラフト5位
https://npb.jp/bis/players/71075151.html,佐藤　都志也,捕手,右投左打,181cm／91kg,1998年1月27日,聖光学院高 - 東洋大,2019年ドラフト2位
https://npb.jp/bis/players/41945150.html,坂井　遼,投手,右投右打,178cm／78kg,2006年5月8日,関東第一高,2024年ドラフト4位
https://npb.jp/bis/players/03905150.html,Ｂ．サモンズ,,左投左打,193cm／106kg,1995年4月27日,ウエスタンカロライナ大 - タイガース,
https://npb.jp/bis/players/71275153.html,鈴木　昭汰,投手,左投左打,175cm／80kg,1998年9月7日,常総学院高 - 法政大,2020年ドラフト1位
https://npb.jp/bis/players/03505136.html,Ｎ．ソト,内野手,右投右打,185cm／97kg,1989年2月28日,マリスタデグアイナボ高 - レッズ,
https://npb.jp/bis/players/41945137.html,田村　龍弘,捕手,右投右打,172cm／81kg,1994年5月13日,光星学院高,2012年ドラフト3位
https://npb.jp/bis/players/71275134.html,種市　篤暉,投手,右投右打,183cm／88kg,1998年9月7日,八戸工大一高,2016年ドラフト6位
https://npb.jp/bis/players/11215151.html,髙部　瑛斗,外野手,右投左打,178cm／72kg,1997年12月11日,東海大甲府高 - 国士舘大,2019年ドラフト3位
https://npb.jp/bis/players/31035157.html,高野　脩汰,投手,左投左打,184cm／88kg,1998年8月13日,出雲商 - 関西大 - 日本通運,2022年ドラフト4位
https://npb.jp/bis/players/01005157.html,田中　晴也,投手,右投左打,186cm／92kg,2004年6月6日,日本文理高,2022年ドラフト3位
https://npb.jp/bis/players/71275159.html,武内　涼太,投手,右投右打,184cm／84kg,2005年10月25日,星稜高,2023年育成選手ドラフト1位
https://npb.jp/bis/players/71475150.html,立松　由宇,内野手,右投左打,177cm／82kg,1999年2月5日,藤代高 - 立正大 - 日本生命,2024年ドラフト6位
https://npb.jp/bis/players/21425150.html,谷村　剛,内野手,右投左打,177cm／85kg,2006年9月15日,和歌山東高,2024年育成選手ドラフト1位
https://npb.jp/bis/players/71275132.html,茶谷　健太,内野手,右投右打,186cm／88kg,1998年1月16日,帝京三高,2015年ドラフト4位
https://npb.jp/bis/players/51455159.html,寺地　隆成,捕手,右投左打,177cm／82kg,2005年8月19日,明徳義塾高,2023年ドラフト5位
https://npb.jp/bis/players/71275157.html,友杉　篤輝,内野手,右投右打,171cm／70kg,2000年11月7日,立正大淞南高 - 天理大,2022年ドラフト2位
https://npb.jp/bis/players/91495159.html,富山　紘之進,捕手,右投右打,181cm／70kg,2005年9月18日,会津北嶺高,2023年育成選手ドラフト5位
https://npb.jp/bis/players/51455130.html,中村　奨吾,内野手,右投右打,180cm／86kg,1992年5月28日,天理高 - 早稲田大,2014年ドラフト1位
https://npb.jp/bis/players/01205138.html,中村　稔弥,投手,左投左打,178cm／84kg,1996年7月8日,清峰高 - 亜細亜大,2018年ドラフト5位
https://npb.jp/bis/players/11615153.html,中村　亮太,投手,右投右打,183cm／85kg,1998年5月18日,千葉経大付高 - 東京農業大北海道オホーツク,2020年育成選手ドラフト8位
https://npb.jp/bis/players/31635153.html,中森　俊介,投手,右投左打,183cm／90kg,2002年5月29日,明石商,2020年ドラフト2位
https://npb.jp/bis/players/71475155.html,永島田　輝斗,投手,右投右打,182cm／90kg,2003年11月30日,立花学園高,2021年育成選手ドラフト3位
https://npb.jp/bis/players/51655150.html,長島　幸佑,投手,右投右打,187cm／92kg,2002年7月5日,佐野日大高 - 富士大,2024年育成選手ドラフト3位
https://npb.jp/bis/players/01205118.html,西野　勇士,投手,右投右打,183cm／90kg,1991年3月6日,新湊高,2008年育成選手ドラフト5位
https://npb.jp/bis/players/91495136.html,西村　天裕,,右投右打,177cm／92kg,1993年5月6日,和歌山商 - 帝京大 - NTT東日本,2017年ドラフト2位
https://npb.jp/bis/players/21625150.html,西川　史礁,外野手,右投右打,182cm／88kg,2003年3月25日,龍谷大平安高 - 青山学院大,2024年ドラフト1位
https://npb.jp/bis/players/91695159.html,早坂　響,投手,右投右打,176cm／70kg,2005年7月26日,幕張総合高,2023年ドラフト4位
https://npb.jp/bis/players/41645155.html,廣畑　敦也,投手,右投右打,175cm／83kg,1997年12月3日,玉野光南高 - 帝京大 - 三菱自動車倉敷オーシャンズ,2021年ドラフト3位
https://npb.jp/bis/players/81685150.html,廣池　康志郎,投手,右投左打,185cm／85kg,2002年9月16日,都城農 - 東海大九州キャンパス,2024年ドラフト5位
https://npb.jp/bis/players/21225139.html,二木　康太,,右投右打,190cm／85kg,1995年8月1日,鹿児島情報高,2013年ドラフト6位
https://npb.jp/bis/players/41645136.html,藤岡　裕大,内野手,右投左打,178cm／86kg,1993年8月8日,岡山理大付高 - 亜細亜大 - トヨタ自動車,2017年ドラフト2位
https://npb.jp/bis/players/31635138.html,藤原　恭大,外野手,左投左打,181cm／80kg,2000年5月6日,大阪桐蔭高,2018年ドラフト1位
https://npb.jp/bis/players/51855159.html,藤田　和樹,外野手,右投左打,185cm／82kg,2005年11月4日,延岡学園高,2023年育成選手ドラフト4位
https://npb.jp/bis/players/63065155.html,Ｇ．ポランコ,外野手,左投左打,196cm／108kg,1991年9月14日,セナペック高 - パイレーツ,
https://npb.jp/bis/players/33035150.html,Ａ．ボス,,右投右打,186cm／97kg,1992年6月26日,ワシントン大 - ナショナルズ - オリオールズ - マリナーズ,
https://npb.jp/bis/players/71675135.html,益田　直也,投手,右投右打,179cm／80kg,1989年10月25日,市立和歌山商 - 関西国際大,2011年ドラフト4位
https://npb.jp/bis/players/53155155.html,松川　虎生,捕手,右投右打,178cm／98kg,2003年10月20日,市立和歌山高,2021年ドラフト1位
https://npb.jp/bis/players/53155159.html,松石　信八,内野手,右投右打,175cm／80kg,2005年12月18日,藤蔭高,2023年育成選手ドラフト2位
https://npb.jp/bis/players/01605133.html,美馬　学,,右投左打,169cm／75kg,1986年9月19日,藤代高 - 中央大 - 東京ガス,2010年ドラフト2位
https://npb.jp/bis/players/81885150.html,宮崎　竜成,内野手,右投左打,173cm／90kg,2000年12月9日,創志学園高 - 立命館大 - ヤマハ,2024年ドラフト2位
https://npb.jp/bis/players/61865136.html,森　遼大朗,投手,右投左打,180cm／87kg,1999年4月22日,都城商,2017年育成選手ドラフト2位
https://npb.jp/bis/players/13115151.html,本前　郁也,投手,左投左打,176cm／82kg,1997年10月2日,札幌光星高 - 北翔大,2019年育成選手ドラフト1位
https://npb.jp/bis/players/81885136.html,安田　尚憲,内野手,右投左打,188cm／100kg,1999年4月15日,履正社高,2017年ドラフト1位
https://npb.jp/bis/players/91895138.html,山口　航輝,外野手,右投右打,183cm／100kg,2000年8月18日,明桜高,2018年ドラフト4位
https://npb.jp/bis/players/33535153.html,山本　大斗,外野手,右投右打,180cm／88kg,2002年8月9日,開星高,2020年育成選手ドラフト3位
https://npb.jp/bis/players/23325155.html,八木　彬,投手,右投右打,180cm／94kg,1997年5月26日,八戸学院光星高 - 東北福祉大 - 三菱重工West,2021年ドラフト5位
https://npb.jp/bis/players/23125151.html,横山　陸人,投手,右投右打,180cm／90kg,2001年8月5日,専大松戸高,2019年ドラフト4位
https://npb.jp/bis/players/83385157.html,吉川　悠斗,投手,左投左打,185cm／92kg,2005年3月14日,浦和麗明高,2022年育成選手ドラフト1位
https://npb.jp/bis/players/33335136.html,和田　康士朗,外野手,左投左打,185cm／77kg,1999年1月14日,小川高 - BC・富山,2017年育成選手ドラフト1位
https://npb.jp/bis/players/51155130.html,有原　航平,投手,右投右打,190cm／100kg,1992年8月11日,広陵高 - 早稲田大,2014年ドラフト1位
https://npb.jp/bis/players/33735155.html,Ａ．アルメンタ,投手,左投左打,185cm／79kg,2004年6月26日,テクニカNo.13高 - メキシカンリーグ,
https://npb.jp/bis/players/93595159.html,Ｄ．アルモンテ,内野手,右投右打,185cm／82kg,2007年12月2日,エスクエラカトリカパドレシンドゥルフォ高,
https://npb.jp/bis/players/31135150.html,相原　雄太,投手,右投右打,192cm／96kg,2002年6月16日,伊奈学園総合高 - 仙台大,2024年育成選手ドラフト8位
https://npb.jp/bis/players/01105150.html,安德　駿,投手,右投右打,177cm／83kg,2002年5月18日,久留米商 - 富士大,2024年ドラフト3位
https://npb.jp/bis/players/31335131.html,今宮　健太,内野手,右投右打,172cm／76kg,1991年7月15日,明豊高,2009年ドラフト1位
https://npb.jp/bis/players/01105151.html,石塚　綜一郎,捕手,右投右打,182cm／92kg,2001年6月7日,黒沢尻工,2019年育成選手ドラフト1位
https://npb.jp/bis/players/91395153.html,伊藤　優輔,投手,右投右打,179cm／78kg,1997年1月14日,小山台高 - 中央大 - 三菱パワー,2020年ドラフト4位
https://npb.jp/bis/players/01305153.html,井上　朋也,内野手,右投右打,182cm／91kg,2003年1月28日,花咲徳栄高,2020年ドラフト1位
https://npb.jp/bis/players/61165155.html,井﨑　燦志郎,投手,右投右打,188cm／91kg,2004年2月9日,福岡高,2021年育成選手ドラフト3位
https://npb.jp/bis/players/21125157.html,生海,外野手,右投左打,184cm／103kg,2000年7月11日,九州国際大付高 - 東北福祉大,2022年ドラフト3位
https://npb.jp/bis/players/11315157.html,イヒネ　イツア,内野手,右投左打,186cm／83kg,2004年9月2日,誉高,2022年ドラフト1位
https://npb.jp/bis/players/51355159.html,岩井　俊介,投手,右投右打,181cm／93kg,2001年7月30日,京都翔英高 - 名城大,2023年ドラフト2位
https://npb.jp/bis/players/81185150.html,石見　颯真,内野手,右投左打,176cm／75kg,2006年6月10日,愛工大名電高,2024年ドラフト5位
https://npb.jp/bis/players/21325150.html,岩崎　峻典,投手,右投右打,177cm／85kg,2003年3月11日,履正社高 - 東洋大,2024年ドラフト6位
https://npb.jp/bis/players/51355135.html,上沢　直之,投手,右投右打,188cm／89kg,1994年2月6日,専大松戸高,2011年ドラフト6位
https://npb.jp/bis/players/81385151.html,海野　隆司,捕手,右投右打,174cm／84kg,1997年7月15日,関西高 - 東海大,2019年ドラフト2位
https://npb.jp/bis/players/71375157.html,内野　海斗,投手,右投右打,187cm／93kg,2004年7月28日,武田高,2022年育成選手ドラフト4位
https://npb.jp/bis/players/61365150.html,宇野　真仁朗,内野手,右投右打,178cm／85kg,2006年7月5日,早稲田実,2024年ドラフト4位
https://npb.jp/bis/players/61365136.html,尾形　崇斗,投手,右投左打,182cm／90kg,1999年5月15日,学法石川高,2017年育成選手ドラフト1位
https://npb.jp/bis/players/01505151.html,大関　友久,投手,左投左打,185cm／84kg,1997年12月14日,土浦湖北高 - 仙台大,2019年育成選手ドラフト2位
https://npb.jp/bis/players/81585153.html,緒方　理貢,外野手,右投左打,175cm／71kg,1998年9月22日,京都外大西高 - 駒沢大,2020年育成選手ドラフト5位
https://npb.jp/bis/players/21325155.html,大竹　風雅,投手,右投左打,186cm／90kg,1999年8月22日,光南高 - 東北福祉大,2021年ドラフト5位
